id,brand,price,link
1,only,"94,99€",https://www.zalando.fr/only-onlolivia-long-wrap-coat-manteau-classique-black-on321u14d-q11.html?size=36
2,oxmo,"94,95€",https://www.zalando.fr/oxmo-manteau-dhiver-blackened-pearl-1ox21u023-q11.html?size=36
3,we,"90,00€",https://www.zalando.fr/we-fashion-manteau-court-black-wf521u04i-q11.html?size=36
4,morgan,"94,95€",https://www.zalando.fr/morgan-vavan-manteau-court-noir-m5921u05b-q11.html?size=36
5,new,"94,99€",https://www.zalando.fr/new-look-manteau-dhiver-black-nl021u09e-q11.html?size=36
6,next,"92,00€",https://www.zalando.fr/next-manteau-dhiver-black-nx329m005-q11.html?size=36
7,byoung,"85,95€",https://www.zalando.fr/byoung-byavan-manteau-classique-black-by221u034-q11.html?size=36
8,twist,"94,47€",https://www.zalando.fr/twist-manteau-court-black-twg21u03m-q11.html?size=36
9,vero,"94,95€",https://www.zalando.fr/vero-moda-manteau-dhiver-black-ve121u0wc-q11.html?size=36
10,esprit,"94,99€",https://www.zalando.fr/esprit-pure-business-modern-single-breasted-blazer-black-es121g0fb-q11.html?size=36
11,oxmo,"87,95€",https://www.zalando.fr/oxmo-parka-black-1ox21u005-q11.html?size=36
12,vila,"93,95€",https://www.zalando.fr/vila-vivalji-long-coat-manteau-classique-black-v1021u0dq-q11.html?size=36
13,only,"94,49€",https://www.zalando.fr/only-manteau-dhiver-anthracite-on321u17o-q11.html?size=36
14,noisy,"91,99€",https://www.zalando.fr/noisy-may-nmcelia-long-jacket-doudoune-black-nm321u05d-q12.html?size=36
15,only,"94,49€",https://www.zalando.fr/only-trench-black-on321u17u-q11.html?size=36
16,koton,"94,99€",https://www.zalando.fr/koton-trench-black-koa21u02x-q11.html?size=36
17,only,"94,99€",https://www.zalando.fr/only-onlmedina-long-belted-coat-manteau-classique-black-on321u14j-q11.html?size=36
18,vero,"94,99€",https://www.zalando.fr/vero-moda-petite-vmnanna-doudoune-black-vm021u066-q11.html?size=36
19,moss,"93,95€",https://www.zalando.fr/moss-copenhagen-slit-manteau-court-black-m0y21g02c-q11.html?size=36
20,new,"94,99€",https://www.zalando.fr/new-look-manteau-dhiver-black-nl021u09t-q11.html?size=36
21,next,"92,00€",https://www.zalando.fr/next-sequin-standard-blazer-black-nx321g0hc-q11.html?size=36
22,we,"90,00€",https://www.zalando.fr/we-fashion-blazer-black-wf521u04g-q11.html?size=36
